INPUT,MOLECULAR_FORMULA,AVERAGE_MASS,DENSITY_G/CM^3_TEST_PRED,VAPOR_PRESSURE_MMHG_TEST_PRED,WATER_SOLUBILITY_MOL/L_TEST_PRED,BIODEGRADATION_HALF_LIFE_DAYS_DAYS_OPERA_PRED,HENRYS_LAW_ATM-M3/MOLE_OPERA_PRED,OCTANOL_AIR_PARTITION_COEFF_LOGKOA_OPERA_PRED,SOIL_ADSORPTION_COEFFICIENT_KOC_L/KG_OPERA_PRED,OCTANOL_WATER_PARTITION_LOGP_OPERA_PRED,VAPOR_PRESSURE_MMHG_OPERA_PRED,WATER_SOLUBILITY_MOL/L_OPERA_PRED
DTXSID7021946,C10H22O,158.285,0.847,0.012735,0.000601174,5.6663,3.18976E-05,7.49583,388.688,4.56753,0.00850644,0.000180499
DTXSID4027286,C22H46O,326.609,0.801,2.84446E-08,2.29615E-07,45.9202,7.85366E-07,10.6873,14101.7,9.35723,1.26302E-07,6.13173E-08
DTXSID3021984,C12H27N,185.355,0.821,0.00432514,0.000142561,7.94744,2.26093E-05,8.58457,2439.13,4.92077,0.0080958,0.000419661
DTXSID3062104,C14H31NO2,245.407,0.8,0.00432514,0.000282488,7.94744,2.26093E-05,8.58457,2439.13,1.0829,0.0080958,0.000419661
DTXSID6025220,C12H26S,202.4,0.841,0.00346737,0.000599791,5.25987,0.00272678,6.30913,1912.73,5.89604,0.00852861,3.41903E-07
DTXSID5026918,C12H26O,186.339,0.838,0.00063387,0.000078886,6.28062,2.21925E-05,8.53284,3305.33,5.12883,0.000849576,1.78881E-05
DTXSID4042206,C16H31NO,253.43,0.871,3.1989E-06,0.000125314,5.83066,1.24462E-07,8.52102,1584.2,4.20336,0.000109429,0.000858845
DTXSID1041267,C5H12O2,104.149,0.926,2.89068,1.40281,4.12388,8.11062E-07,4.30301,14.7877,0.272591,3.59066,9.69227
DTXSID5052385,C26H52N2O5S,504.77,0.916,1.45546E-08,6.85488E-05,13.2758,6.30621E-08,10.4398,14465.1,0.662826,1.23415E-07,1.34977E-05
DTXSID8021937,C7H16O,116.204,0.854,0.234963,0.0117761,4.9299,1.88421E-05,4.96715,13.8421,2.6686,0.217411,0.0149739
DTXSID4027991,C16H34O,242.447,0.822,1.50661E-05,8.89201E-07,16.5103,1.42697E-05,9.89777,2038.6,6.6212,6.05901E-06,7.36571E-08
DTXSID8021931,C6H14O,102.177,0.862,0.988553,0.0615177,4.44499,1.70859E-05,5.16435,10.2463,2.02886,0.934507,0.0582708
DTXSID3027372,C17H26O,246.394,0.983,0.000118304,8.87156E-05,5.20971,9.37514E-06,9.43655,3610.87,5.35381,0.00129522,1.76426E-05
DTXSID8024284,C4H10O2,90.122,0.943,3.66438,2.51768,4.27926,9.14241E-07,4.08117,10.447,-0.315774,12.42,11.0975
DTXSID1026796,C6H12O3,132.159,0.96,5.8479,0.542001,4.28671,1.69436E-05,4.01541,2.31363,0.560301,3.91833,1.48859
DTXSID8024107,C19H14F3NO,329.322,1.251,1.14288E-07,5.05825E-05,3.55422,2.24083E-09,9.77379,710.721,3.04637,9.74335E-08,3.64313E-05
DTXSID2035643,C4H6,54.092,0.871,827.942,0.0218273,6.79404,0.0245224,2.26127,11.8227,1.41072,235.38,0.0560159
DTXSID5041275,C15H30O4,274.401,0.997,1.90546E-06,0.00184927,5.79673,8.42156E-09,8.98523,1259.41,4.00026,2.31744E-08,0.0125346
DTXSID3020914,C12H11NO,185.226,1.166,1.19674E-05,0.00156675,4.69465,2.0253E-09,8.57204,100.37,0.976849,3.59353E-06,0.000438111
DTXSID8020915,C12H10O2,186.21,1.248,2.39883E-05,0.000946237,4.5899,1.16607E-08,8.65308,158.459,2.2431,9.14108E-05,0.00101104
DTXSID6021793,C10H8O,144.173,1.189,0.00231206,0.00308319,22.4974,5.9753E-08,8.35569,528.146,2.85042,0.000273976,0.00672936
DTXSID6022008,C9H20O,144.258,0.85,0.0316957,0.00244343,4.94819,2.41622E-05,6.74393,77.8145,3.71973,0.0226821,0.000978253
DTXSID8026935,C18H38O,270.501,0.81,1.54882E-06,5.62341E-07,20.1731,5.93259E-06,10.9258,2767.79,7.90632,2.69104E-06,4.09895E-09
DTXSID3026932,C18H36,252.486,0.742,0.000232809,7.14496E-08,10.0705,3.32225E-05,8.17776,3992.65,9.08477,6.79209E-05,6.69328E-09
DTXSID7021940,C8H18O,130.231,0.843,0.0717794,0.00468813,4.93871,2.46425E-05,6.02964,36.3607,2.99985,0.0792224,0.0041301
DTXSID3035214,C8H16O,128.215,0.841,0.190108,0.0336512,3.55609,2.90506E-05,5.6591,39.1738,2.38141,0.190443,0.0144979
DTXSID4036435,C12H23NO,197.322,0.887,0.000695024,0.00580764,5.7946,0.000152917,7.4356,703.496,2.87386,0.00594599,0.0203716
DTXSID6021741,C5H12O,88.15,0.862,3.63078,0.242661,4.43909,1.30069E-05,4.6615,5.02847,1.53292,2.21151,0.250422
DTXSID0041278,C24H38O4,390.564,1.053,2.99916E-08,3.63078E-06,12.8159,2.33107E-08,10.4328,130160,5.02428,2.77311E-07,3.83299E-06
DTXSID9027312,C9H12O2,152.193,1.053,0.0106905,0.0447713,3.54734,2.82319E-07,7.48416,108.158,1.60998,0.0119076,0.0726063
DTXSID2021739,C3H8O,60.096,0.849,16.1065,2.19281,4.43043,7.41659E-06,3.70923,3.03193,0.248727,21,10.4512
DTXSID5029217,C6H14O2,118.176,0.917,1.0617,0.403645,4.6124,9.58475E-07,4.76584,19.9057,0.589335,1.70325,8.38015
DTXSID9026926,C14H30O,214.393,0.828,9.54993E-05,3.1842E-06,11.152,2.08918E-05,8.99882,3181.65,6.19413,0.000110001,1.06969E-06
DTXSID2021947,C13H28O,200.366,0.833,0.000275423,0.000018197,8.05744,2.07061E-05,8.80764,1746.1,5.44578,0.000435108,6.35038E-06
DTXSID0026915,C11H24O,172.312,0.843,0.00238781,0.00022856,5.67177,0.000019189,7.76059,673.105,4.42381,0.00296741,0.00017251
DTXSID3041293,C9H13NO,151.209,1.04,0.02208,0.108393,3.55023,2.25533E-07,7.62207,60.6914,1.69694,0.0161005,0.0210732
DTXSID8041294,C5H13NO2,119.164,0.988,0.00291072,2.60615,4.28094,1.3753E-08,6.76764,6.25154,-0.509778,0.000477056,6.86641
DTXSID3041295,C14H22O5,270.325,1.083,2.54097E-06,0.00959401,3.67944,4.19413E-09,10.1364,742.86,1.52024,1.96667E-05,0.255733
DTXSID0021387,C9H7Cl3O3,269.5,1.529,4.43609E-06,0.000660693,3.53748,1.59552E-09,8.59486,56.4311,3.79814,7.44719E-06,0.000356901
DTXSID8021519,C8H18O3,162.229,0.979,0.0399945,0.937562,3.67678,7.19083E-09,7.21882,36.5981,0.56022,0.0220092,6.15347
DTXSID2021941,C6H14O3,134.175,1.01,0.0615177,3.09742,3.6803,3.47571E-09,5.64323,27.6439,-0.537154,0.126225,7.45304
DTXSID1027479,C13H11N3O,225.251,1.29,2.54683E-08,0.00012331,4.06544,2.80876E-08,9.80151,1341.75,4.30517,8.51437E-08,7.44877E-05
DTXSID3051886,C25H35N3O,393.575,1.154,5.90201E-11,9.4189E-08,4.72247,4.72272E-08,10.2968,66285.9,5.57157,6.48627E-09,1.68939E-05
DTXSID2027886,C22H29N3O,351.494,1.162,1.10408E-09,6.98232E-07,16.7985,5.40302E-08,10.5235,18402.5,4.96734,5.14847E-08,3.61125E-05
DTXSID20188859,C12H11NO2,201.225,1.212,9.7949E-08,0.000630957,3.55745,1.15481E-09,9.97986,189.816,2.20058,8.51464E-08,0.000787363
DTXSID5041300,C18H20N2O4,328.368,1.37,1.98609E-10,0.00012218,6.67503,1.36296E-11,9.37232,155.936,0.637868,6.96785E-11,0.000751888
