"","ID","chemical","tissue","Type","Source","unit","Species","applicationrate"
"104","WBJ304","X34.DCA",NA,"Field","Battaglin et al. 2016","ug/kg","Rana sphenocephala","unknown"
"105","WBJ305","X34.DCA",NA,"Field","Battaglin et al. 2016","ug/kg","Rana sphenocephala","unknown"
"106","WBJ306","X34.DCA",NA,"Field","Battaglin et al. 2016","ug/kg","Rana sphenocephala","unknown"
"107","WBJ307","X34.DCA",NA,"Field","Battaglin et al. 2016","ug/kg","Rana sphenocephala","unknown"
"108","CPF1","X34.DCA",NA,"Field","Battaglin et al. 2016","ug/kg","Pseudacris regilla","unknown"
"109","CPF2","X34.DCA",NA,"Field","Battaglin et al. 2016","ug/kg","Pseudacris regilla","unknown"
"110","CPF3","X34.DCA",NA,"Field","Battaglin et al. 2016","ug/kg","Pseudacris regilla","unknown"
"111","CPF4","X34.DCA",NA,"Field","Battaglin et al. 2016","ug/kg","Pseudacris regilla","unknown"
"112","CPF5","X34.DCA",NA,"Field","Battaglin et al. 2016","ug/kg","Pseudacris regilla","unknown"
"113","BAF1","X34.DCA",NA,"Field","Battaglin et al. 2016","ug/kg","Rana clamitans","unknown"
"114","BAF2","X34.DCA",NA,"Field","Battaglin et al. 2016","ug/kg","Rana clamitans","unknown"
"115","BAF3","X34.DCA",NA,"Field","Battaglin et al. 2016","ug/kg","Rana clamitans","unknown"
"116","BAF4","X34.DCA",NA,"Field","Battaglin et al. 2016","ug/kg","Rana clamitans","unknown"
"117","BAF5","X34.DCA",NA,"Field","Battaglin et al. 2016","ug/kg","Rana clamitans","unknown"
"118","BAF6","X34.DCA",NA,"Field","Battaglin et al. 2016","ug/kg","Rana clamitans","unknown"
"119","BAF7","X34.DCA",NA,"Field","Battaglin et al. 2016","ug/kg","Rana clamitans","unknown"
"120","BAF8","X34.DCA",NA,"Field","Battaglin et al. 2016","ug/kg","Rana clamitans","unknown"
"121","BAF9","X34.DCA",NA,"Field","Battaglin et al. 2016","ug/kg","Rana clamitans","unknown"
"122","BAF10","X34.DCA",0.0755,"Field","Battaglin et al. 2016","ug/kg","Rana clamitans","unknown"
"123","TC101","X34.DCA",NA,"Field","Battaglin et al. 2016","ug/kg","Rana catesbeiana","unknown"
"124","TC102","X34.DCA",NA,"Field","Battaglin et al. 2016","ug/kg","Rana catesbeiana","unknown"
"125","TC103","X34.DCA",NA,"Field","Battaglin et al. 2016","ug/kg","Rana catesbeiana","unknown"
"126","TC104","X34.DCA",NA,"Field","Battaglin et al. 2016","ug/kg","Rana catesbeiana","unknown"
"127","TC105","X34.DCA",NA,"Field","Battaglin et al. 2016","ug/kg","Rana catesbeiana","unknown"
"128","TC107","X34.DCA",NA,"Field","Battaglin et al. 2016","ug/kg","Rana catesbeiana","unknown"
"129","TC108","X34.DCA",NA,"Field","Battaglin et al. 2016","ug/kg","Rana catesbeiana","unknown"
"130","TC109","X34.DCA",NA,"Field","Battaglin et al. 2016","ug/kg","Rana catesbeiana","unknown"
"131","TC110","X34.DCA",NA,"Field","Battaglin et al. 2016","ug/kg","Rana catesbeiana","unknown"
"132","TC111","X34.DCA",NA,"Field","Battaglin et al. 2016","ug/kg","Rana catesbeiana","unknown"
"133","TC112","X34.DCA",NA,"Field","Battaglin et al. 2016","ug/kg","Rana catesbeiana","unknown"
"134","TC113","X34.DCA",NA,"Field","Battaglin et al. 2016","ug/kg","Rana catesbeiana","unknown"
"135","TC114","X34.DCA",NA,"Field","Battaglin et al. 2016","ug/kg","Rana catesbeiana","unknown"
"136","TC115","X34.DCA",NA,"Field","Battaglin et al. 2016","ug/kg","Rana catesbeiana","unknown"
"137","TC116","X34.DCA",NA,"Field","Battaglin et al. 2016","ug/kg","Rana catesbeiana","unknown"
"138","TC117","X34.DCA",NA,"Field","Battaglin et al. 2016","ug/kg","Rana catesbeiana","unknown"
"139","PMK2061","X35.DCA",NA,"Field","Battaglin et al. 2016","ug/kg","Pseudacris regilla","unknown"
"140","PMK2062","X35.DCA",NA,"Field","Battaglin et al. 2016","ug/kg","Pseudacris regilla","unknown"
"141","PMK2063","X35.DCA",NA,"Field","Battaglin et al. 2016","ug/kg","Pseudacris regilla","unknown"
"142","PMK2064","X35.DCA",NA,"Field","Battaglin et al. 2016","ug/kg","Pseudacris regilla","unknown"
"143","PMK2065","X35.DCA",NA,"Field","Battaglin et al. 2016","ug/kg","Pseudacris regilla","unknown"
"144","PMK2066","X35.DCA",NA,"Field","Battaglin et al. 2016","ug/kg","Pseudacris regilla","unknown"
"145","PMK2067","X35.DCA",NA,"Field","Battaglin et al. 2016","ug/kg","Pseudacris regilla","unknown"
"146","PMK2068","X35.DCA",NA,"Field","Battaglin et al. 2016","ug/kg","Pseudacris regilla","unknown"
"147","PMK2069","X35.DCA",NA,"Field","Battaglin et al. 2016","ug/kg","Pseudacris regilla","unknown"
"148","PMK2070","X35.DCA",NA,"Field","Battaglin et al. 2016","ug/kg","Pseudacris regilla","unknown"
"149","PMK2071","X35.DCA",NA,"Field","Battaglin et al. 2016","ug/kg","Pseudacris regilla","unknown"
"150","PMK2072","X35.DCA",NA,"Field","Battaglin et al. 2016","ug/kg","Pseudacris regilla","unknown"
"151","PMK2016","X35.DCA",NA,"Field","Battaglin et al. 2016","ug/kg","Pseudacris regilla","unknown"
"152","PMK2017","X35.DCA",NA,"Field","Battaglin et al. 2016","ug/kg","Pseudacris regilla","unknown"
"153","PMK2018","X35.DCA",NA,"Field","Battaglin et al. 2016","ug/kg","Pseudacris regilla","unknown"
"154","PMK2019","X35.DCA",NA,"Field","Battaglin et al. 2016","ug/kg","Pseudacris regilla","unknown"
"155","PMK2020","X35.DCA",NA,"Field","Battaglin et al. 2016","ug/kg","Pseudacris regilla","unknown"
"156","PMK2021","X35.DCA",NA,"Field","Battaglin et al. 2016","ug/kg","Pseudacris regilla","unknown"
"157","PMK2022","X35.DCA",NA,"Field","Battaglin et al. 2016","ug/kg","Pseudacris regilla","unknown"
"158","PMK2024","X35.DCA",NA,"Field","Battaglin et al. 2016","ug/kg","Pseudacris regilla","unknown"
"159","PMK2025","X35.DCA",NA,"Field","Battaglin et al. 2016","ug/kg","Pseudacris regilla","unknown"
"160","PMK2026","X35.DCA",NA,"Field","Battaglin et al. 2016","ug/kg","Pseudacris regilla","unknown"
"161","PMK2027","X35.DCA",NA,"Field","Battaglin et al. 2016","ug/kg","Pseudacris regilla","unknown"
"162","PMK2028","X35.DCA",NA,"Field","Battaglin et al. 2016","ug/kg","Pseudacris regilla","unknown"
"163","PMK2029","X35.DCA",NA,"Field","Battaglin et al. 2016","ug/kg","Pseudacris regilla","unknown"
"164","PMK2030","X35.DCA",NA,"Field","Battaglin et al. 2016","ug/kg","Pseudacris regilla","unknown"
"165","PMK2046","X35.DCA",NA,"Field","Battaglin et al. 2016","ug/kg","Pseudacris regilla","unknown"
"166","PMK2047","X35.DCA",NA,"Field","Battaglin et al. 2016","ug/kg","Pseudacris regilla","unknown"
"167","PMK2048","X35.DCA",NA,"Field","Battaglin et al. 2016","ug/kg","Pseudacris regilla","unknown"
"168","PMK2049","X35.DCA",NA,"Field","Battaglin et al. 2016","ug/kg","Pseudacris regilla","unknown"
"169","PMK2050","X35.DCA",NA,"Field","Battaglin et al. 2016","ug/kg","Pseudacris regilla","unknown"
"170","PMK2051","X35.DCA",NA,"Field","Battaglin et al. 2016","ug/kg","Pseudacris regilla","unknown"
"171","PMK2052","X35.DCA",NA,"Field","Battaglin et al. 2016","ug/kg","Pseudacris regilla","unknown"
"172","PMK2053","X35.DCA",NA,"Field","Battaglin et al. 2016","ug/kg","Pseudacris regilla","unknown"
"173","PMK2054","X35.DCA",NA,"Field","Battaglin et al. 2016","ug/kg","Pseudacris regilla","unknown"
"174","PMK2055","X35.DCA",NA,"Field","Battaglin et al. 2016","ug/kg","Pseudacris regilla","unknown"
"175","PMK2056","X35.DCA",NA,"Field","Battaglin et al. 2016","ug/kg","Pseudacris regilla","unknown"
"176","PMK2057","X35.DCA",NA,"Field","Battaglin et al. 2016","ug/kg","Pseudacris regilla","unknown"
"177","PMK2058","X35.DCA",NA,"Field","Battaglin et al. 2016","ug/kg","Pseudacris regilla","unknown"
"178","PMK2059","X35.DCA",NA,"Field","Battaglin et al. 2016","ug/kg","Pseudacris regilla","unknown"
"179","PMK2060","X35.DCA",NA,"Field","Battaglin et al. 2016","ug/kg","Pseudacris regilla","unknown"
"180","PMK2031","X35.DCA",NA,"Field","Battaglin et al. 2016","ug/kg","Pseudacris regilla","unknown"
"181","PMK2032","X35.DCA",NA,"Field","Battaglin et al. 2016","ug/kg","Pseudacris regilla","unknown"
"182","PMK2033","X35.DCA",NA,"Field","Battaglin et al. 2016","ug/kg","Pseudacris regilla","unknown"
